n,Pop,Mean,U,L,P(mean-rand >= mean-data),P(mean-rand <= mean-data),Uv,Lv
15,1,0.077,0.073,-0.055,0.018,0.983,0.171,-0.019
91,2,0.142,0.023,-0.028,0.001,1.000,0.177,0.107
3,3,0.165,0.197,-0.107,0.044,0.957,0.334,-0.009
6,4,0.106,0.093,-0.080,0.017,0.984,0.243,0.030
6,7,0.175,0.134,-0.078,0.009,0.992,0.298,0.109
10,8,0.139,0.097,-0.067,0.007,0.994,0.247,0.042
6,9,0.273,0.117,-0.080,0.002,0.999,0.345,0.209
6,10,0.140,0.124,-0.085,0.017,0.984,0.294,0.008
3,11,0.101,0.188,-0.111,0.088,0.913,0.268,-0.018
3,12,0.045,0.161,-0.103,0.193,0.808,0.174,-0.044
